GID_1,poverty_range,poverty_rate
AGO.1.1_1,GSAP2_po_1,70.58666667
AGO.1.1_1,GSAP2_po_2,87.66
AGO.1.1_1,GSAP2_poor,49.37
AGO.1.2_1,GSAP2_po_1,61.32
AGO.1.2_1,GSAP2_po_2,83.775
AGO.1.2_1,GSAP2_poor,39.455
AGO.1.3_1,GSAP2_po_1,68.08333333
AGO.1.3_1,GSAP2_po_2,87.32666667
AGO.1.3_1,GSAP2_poor,46.41666667
AGO.1.4_1,GSAP2_po_1,73.6725
AGO.1.4_1,GSAP2_po_2,89.7025
AGO.1.4_1,GSAP2_poor,53.07
AGO.1.5_1,GSAP2_po_1,76.925
AGO.1.5_1,GSAP2_po_2,90.55
AGO.1.5_1,GSAP2_poor,58.43
AGO.10.10_1,GSAP2_po_1,78.78
AGO.10.10_1,GSAP2_po_2,92.75
AGO.10.10_1,GSAP2_poor,61.99
AGO.10.11_1,GSAP2_po_1,83.65
AGO.10.11_1,GSAP2_po_2,94.51
AGO.10.11_1,GSAP2_poor,68.76
AGO.10.12_1,GSAP2_po_1,76.26333333
AGO.10.12_1,GSAP2_po_2,91.50666667
AGO.10.12_1,GSAP2_poor,55.21666667
AGO.10.13_1,GSAP2_po_1,78.78
AGO.10.13_1,GSAP2_po_2,92.75
AGO.10.13_1,GSAP2_poor,61.99
AGO.10.1_1,GSAP2_po_1,78.33666667
AGO.10.1_1,GSAP2_po_2,91.87
AGO.10.1_1,GSAP2_poor,60.81
AGO.10.2_1,GSAP2_po_1,75.635
AGO.10.2_1,GSAP2_po_2,90.24
AGO.10.2_1,GSAP2_poor,57.935
AGO.10.3_1,GSAP2_po_1,78.15
AGO.10.3_1,GSAP2_po_2,93.395
AGO.10.3_1,GSAP2_poor,55.885
AGO.10.4_1,GSAP2_po_1,78.78
AGO.10.4_1,GSAP2_po_2,92.75
AGO.10.4_1,GSAP2_poor,61.99
AGO.10.5_1,GSAP2_po_1,81.26
AGO.10.5_1,GSAP2_po_2,93.94
AGO.10.5_1,GSAP2_poor,64.275
AGO.10.6_1,GSAP2_po_1,81.60666667
AGO.10.6_1,GSAP2_po_2,94.35333333
AGO.10.6_1,GSAP2_poor,62.43333333
AGO.10.7_1,GSAP2_po_1,78.15
AGO.10.7_1,GSAP2_po_2,93.395
AGO.10.7_1,GSAP2_poor,55.885
AGO.10.8_1,GSAP2_po_1,83.65
AGO.10.8_1,GSAP2_po_2,94.51
AGO.10.8_1,GSAP2_poor,68.76
AGO.10.9_1,GSAP2_po_1,83.232
AGO.10.9_1,GSAP2_po_2,94.254
AGO.10.9_1,GSAP2_poor,66.544
AGO.11.1_1,GSAP2_po_1,61.32
AGO.11.1_1,GSAP2_po_2,83.775
AGO.11.1_1,GSAP2_poor,39.455
AGO.11.2_1,GSAP2_po_1,53.79
AGO.11.2_1,GSAP2_po_2,80.9
AGO.11.2_1,GSAP2_poor,24.56
AGO.11.3_1,GSAP2_po_1,53.79
AGO.11.3_1,GSAP2_po_2,80.9
AGO.11.3_1,GSAP2_poor,24.56
AGO.11.4_1,GSAP2_po_1,53.79
AGO.11.4_1,GSAP2_po_2,80.9
AGO.11.4_1,GSAP2_poor,24.56
AGO.11.5_1,GSAP2_po_1,53.79
AGO.11.5_1,GSAP2_po_2,80.9
AGO.11.5_1,GSAP2_poor,24.56
AGO.11.6_1,GSAP2_po_1,53.79
AGO.11.6_1,GSAP2_po_2,80.9
AGO.11.6_1,GSAP2_poor,24.56
AGO.11.7_1,GSAP2_po_1,53.79
AGO.11.7_1,GSAP2_po_2,80.9
AGO.11.7_1,GSAP2_poor,24.56
AGO.11.8_1,GSAP2_po_1,53.79
AGO.11.8_1,GSAP2_po_2,80.9
AGO.11.8_1,GSAP2_poor,24.56
AGO.11.9_1,GSAP2_po_1,61.32
AGO.11.9_1,GSAP2_po_2,83.775
AGO.11.9_1,GSAP2_poor,39.455
AGO.12.1_1,GSAP2_po_1,84.5725
AGO.12.1_1,GSAP2_po_2,94.255
AGO.12.1_1,GSAP2_poor,67.505
AGO.12.2_1,GSAP2_po_1,75.86
AGO.12.2_1,GSAP2_po_2,90.285
AGO.12.2_1,GSAP2_poor,55.675
AGO.12.3_1,GSAP2_po_1,83.87
AGO.12.3_1,GSAP2_po_2,93.085
AGO.12.3_1,GSAP2_poor,68.77
AGO.12.4_1,GSAP2_po_1,87.85
AGO.12.4_1,GSAP2_po_2,95.01333333
AGO.12.4_1,GSAP2_poor,73.55666667
AGO.12.5_1,GSAP2_po_1,84.05
AGO.12.5_1,GSAP2_po_2,93.48666667
AGO.12.5_1,GSAP2_poor,67.79
AGO.12.6_1,GSAP2_po_1,83.87
AGO.12.6_1,GSAP2_po_2,93.085
AGO.12.6_1,GSAP2_poor,68.77
AGO.12.7_1,GSAP2_po_1,75.86
AGO.12.7_1,GSAP2_po_2,90.285
AGO.12.7_1,GSAP2_poor,55.675
AGO.12.8_1,GSAP2_po_1,75.86
AGO.12.8_1,GSAP2_po_2,90.285
AGO.12.8_1,GSAP2_poor,55.675
AGO.12.9_1,GSAP2_po_1,78.71
AGO.12.9_1,GSAP2_po_2,91.62
AGO.12.9_1,GSAP2_poor,59.06
AGO.13.1_1,GSAP2_po_1,80.646
AGO.13.1_1,GSAP2_po_2,92.428
AGO.13.1_1,GSAP2_poor,62.332
AGO.13.2_1,GSAP2_po_1,84.16
AGO.13.2_1,GSAP2_po_2,95.145
AGO.13.2_1,GSAP2_poor,67.495
AGO.13.3_1,GSAP2_po_1,86.36
AGO.13.3_1,GSAP2_po_2,95.95666667
AGO.13.3_1,GSAP2_poor,70.17666667
AGO.13.4_1,GSAP2_po_1,80.82666667
AGO.13.4_1,GSAP2_po_2,92.71666667
AGO.13.4_1,GSAP2_poor,62.29666667
AGO.14.10_1,GSAP2_po_1,84.05
AGO.14.10_1,GSAP2_po_2,93.48666667
AGO.14.10_1,GSAP2_poor,67.79
AGO.14.11_1,GSAP2_po_1,89.03
AGO.14.11_1,GSAP2_po_2,96.12333333
AGO.14.11_1,GSAP2_poor,72.22
AGO.14.12_1,GSAP2_po_1,84.41
AGO.14.12_1,GSAP2_po_2,94.29
AGO.14.12_1,GSAP2_poor,65.83
AGO.14.13_1,GSAP2_po_1,77.235
AGO.14.13_1,GSAP2_po_2,90.415
AGO.14.13_1,GSAP2_poor,57.525
AGO.14.14_1,GSAP2_po_1,79.1425
AGO.14.14_1,GSAP2_po_2,91.47
AGO.14.14_1,GSAP2_poor,59.7
AGO.14.1_1,GSAP2_po_1,85.48666667
AGO.14.1_1,GSAP2_po_2,95.18333333
AGO.14.1_1,GSAP2_poor,66.4
AGO.14.2_1,GSAP2_po_1,83.67333333
AGO.14.2_1,GSAP2_po_2,94.39
AGO.14.2_1,GSAP2_poor,62.89333333
AGO.14.3_1,GSAP2_po_1,77.235
AGO.14.3_1,GSAP2_po_2,90.415
AGO.14.3_1,GSAP2_poor,57.525
AGO.14.4_1,GSAP2_po_1,87.425
AGO.14.4_1,GSAP2_po_2,95.56
AGO.14.4_1,GSAP2_poor,69.43
AGO.14.5_1,GSAP2_po_1,84.41
AGO.14.5_1,GSAP2_po_2,94.29
AGO.14.5_1,GSAP2_poor,65.83
AGO.14.6_1,GSAP2_po_1,84.41
AGO.14.6_1,GSAP2_po_2,94.29
AGO.14.6_1,GSAP2_poor,65.83
AGO.14.7_1,GSAP2_po_1,77.235
AGO.14.7_1,GSAP2_po_2,90.415
AGO.14.7_1,GSAP2_poor,57.525
AGO.14.8_1,GSAP2_po_1,81.3375
AGO.14.8_1,GSAP2_po_2,92.17
AGO.14.8_1,GSAP2_poor,62.425
