country,year,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,other_renewable_electricity,Primary energy consumption per capita (kWh/person),Annual CO₂ emissions per unit energy (kg per kilowatt-hour)
Asia,2000,27.54,2106.82,3693.59,931.16,564.26,44.55,9864.972,0.25265175
Asia,2001,28.79,2248.81,3850.28,1005.01,609.76,45.28,10068.242,0.24870606
Asia,2002,30.26,2454.56,4139.67,1067.54,634.35,46.97,10431.763,0.24980788
Asia,2003,34.01,2767.16,4557.87,1163.31,661.85,49.84,11106.729,0.25524414
Asia,2004,35.9,3020.03,4881.01,1239.53,772.88,52.56,12024.823,0.24667943
Asia,2005,43.18,3349.69,5281.43,1303.33,810.7,59.77,12776.326,0.2460001
Asia,2006,46.2,3714.6,5714.95,1395.81,888.15,63.42,13350.881,0.24870773
Asia,2007,53.52,4157.84,6295.44,1508.06,927.4,70.92,13998.733,0.24666409
Asia,2008,60.14,4282.75,6486.15,1581.37,1057.97,79.33,14291.811,0.25134498
Asia,2009,67.53,4525.82,6724.52,1650.43,1027.77,87.59,14426.608,0.2546833
Asia,2010,78.67,4923.33,7324.06,1832.15,1188.41,98.63,15190.584,0.2571295
Asia,2011,85.77,5457.24,8021.68,1889.39,1195.64,105.79,15791.833,0.26273295
Asia,2012,94.3,5679.55,8419.47,2027.82,1374.18,114.89,16164.222,0.26366776
Asia,2013,107.53,6108.3,8845.59,2049.72,1461.63,127.92,16400.99,0.26018545
Asia,2014,123.44,6371.19,9217.68,2219.09,1598.1,146.17,16676.557,0.25767905
Asia,2015,145.02,6291.77,9173.88,2268.67,1666.19,169.54,16825.139,0.2549038
Asia,2016,145.04,6524.62,9507.399,2397.23,1725.47,171.59,16970.572,0.25168917
Asia,2017,170.18,6909.93,9984.97,2530.98,1769.82,199.64,17376.299,0.25049028
Asia,2018,195.67,7401.15,10458.189,2588.04,1811.7,227.35,17850.889,0.2492252
Asia,2019,223.63,7527.87,10520.92,2544.51,1936.56,256.66,18214.143,0.2475646
Asia,2020,250.88,7500,10511.03,2585.49,1981.13,286.53,17964.684,0.2452017
Asia,2021,293.67,8059.21,11209.949,2696.56,1949.58,330.37,18812.572,0.24324705
Asia,2022,327.63,8252,11447.439,2738.49,1989.02,366.03,19139.61,0.24578089
Australia,2000,0.89,180.26,199.29,16.76,16.47,0.89,68632.96,0.26815182
Australia,2001,0.8,179.88,207,24.5,16.12,0.798,68338.28,0.27199894
Australia,2002,1.27,171.86,205.54,30.55,16.09,1.267,68892.78,0.27019778
